id,word,definition,length,releaseDate
1,etol,"genellikle kürkten, gösterişli kumaşlardan veya yün örgüden yapılmış omuz atkısı",4,2023-07-18
2,adım,bir gösterge ucunun eş olarak ayrılmış yaylardan biri boyunca aldığı yol,4,2023-07-18
3,tatar,postayı süren kimse,5,2023-07-18
4,visal,kavuşma,5,2023-07-18
5,bıldır,"geçen yıl, bir yıl önce",6,2023-07-18
6,rastık,kadınların kaşlarını veya saçlarını boyamak için sürdükleri siyah boya,6,2023-07-18
7,matador,boğa güreşçisi,7,2023-07-18
8,kıyılık,sayanın kenarlarını sağlamlaştırmak ve güzelleştirmek için dikilen şerit biçimindeki parça,7,2023-07-18
9,müstezat,her dizesine bir küçük dize eklenmiş divan edebiyatı nazım türü,8,2023-07-18
10,müstehzi,alaycı,8,2023-07-18
11,tümamiral,"deniz kuvvetlerinde, rütbesi tuğamiralle koramiral arasında bulunan amiral",9,2023-07-18
12,hademelik,odacılık,9,2023-07-18
13,kavalyelik,kadına dansta veya bir toplantıda eşlik etme,10,2023-07-18
14,karakeçili,kırıkkale iline bağlı ilçelerden biri,10,2023-07-18
15,ilam,bir davanın mahkemece nasıl bir hükme bağlandığını gösteren resmî belge,4,2023-07-19
16,ulum,"bilimler, ilimler",4,2023-07-19
17,cilve,"hoşa gitmek için yapılan davranış, kırıtma, naz",5,2023-07-19
18,mesai,"çalışma, emek",5,2023-07-19
19,görücü,evlenmek isteyen erkek için kız görmeye giden kimse,6,2023-07-19
20,tıknaz,"şişmanca, toplu, kısa ve kalın yapılı, tıkız",6,2023-07-19
21,antrakt,ara,7,2023-07-19
22,bereket,"bolluk, gürlük, ongunluk, feyiz, feyezan",7,2023-07-19
23,şaşaasız,görkemsiz,8,2023-07-19
24,tabasbus,yaltaklık,8,2023-07-19
25,maluliyet,sakatlık,9,2023-07-19
26,itirazsız,"i̇tiraz etmeden, karşı çıkmadan",9,2023-07-19
27,denizanası,"sölenterlerden, yassı bir diske benzeyen, saydam, serbestçe yüzebilen deniz hayvanı, medüz",10,2023-07-19
28,jinekoloji,kadın hastalıkları,10,2023-07-19
29,oyuş,oyma işi,4,2023-07-20
30,şort,paçaları dizlerin yukarısında olan kısa pantolon,4,2023-07-20
31,agora,"yunan klasik devrinde, sitenin yönetim, politika ve ticaret işlerini konuşmak için halkın toplandığı alan, halk meydanı",5,2023-07-20
32,arpej,bir akort oluşturan seslerin birbiri arkasından çalınması,5,2023-07-20
33,ateizm,tanrıtanımazlık,6,2023-07-20
34,sunucu,"radyoda, televizyonda, bir eğlence yerinde programı sunan, açıklayan kimse, takdimci, anonsör",6,2023-07-20
35,mineral,i̇çinde inorganik maddeler bulunan,7,2023-07-20
36,patiska,"çoğu pamuktan dokunmuş sık ve düzgün bez, hasse, hasa",7,2023-07-20
37,mektupçu,bir il idaresinin yazı işlerini yöneten görevli,8,2023-07-20
38,bitişken,"kelime üretim ve çekiminde ekler getirilirken kökü veya gövdesi değişikliğe uğramayan, bitişimli, iltisaki",8,2023-07-20
39,alışıldık,"her zaman görülen, sık rastlanılan, yaygın",9,2023-07-20
40,videobant,"televizyon yayınlarının kaydedildiği, bir kasete sarılı şerit",9,2023-07-20
41,isyancılık,başkaldırıcılık,10,2023-07-20
42,yasaklamak,"bir şeyin yapılmamasını buyurmak veya istemek, menetmek",10,2023-07-20
43,taam,"yemek, yiyecek",4,2023-07-21
44,uruk,"soy, sülale",4,2023-07-21
45,legal,yasal,5,2023-07-21
46,motif,"bestenin bir parçasına çeşitli yönlerden birlik sağlayan belirleyici küçük birim, örge",5,2023-07-21
47,kıymık,"çok küçük ve sivri tahta, demir veya kemik parçası",6,2023-07-21
48,iletiş,i̇letme işi,6,2023-07-21
49,çekilme,"savaşta, bir ordunun veya bir birliğin düşmandan ayrılmak için yaptığı davranış, ricat",7,2023-07-21
50,artağan,"alışılandan veya beklenilenden artık verimi olan, bereketli",7,2023-07-21
51,çınarcık,yalova iline bağlı ilçelerden biri,8,2023-07-21
52,selektör,taşıtlarda farların uzun ve kısa uzaklıkta yanmasını sağlayan araç,8,2023-07-21
53,aktüellik,güncellik,9,2023-07-21
54,kullanmak,"giymek, takmak",9,2023-07-21
55,ibadethane,tapınak,10,2023-07-21
56,yetiştirim,bir hayvana herhangi bir amaçla birtakım alışkanlıklar ve beceriler kazandırma işi,10,2023-07-21
57,asır,çağ,4,2023-07-22
58,debi,"bir akarsuyun herhangi bir kesiminden saniyede geçen suyun hacmi, akım",4,2023-07-22
59,kamus,sözlük,5,2023-07-22
60,dilci,dille ilgili araştırmalar yapan kimse,5,2023-07-22
61,vitray,"birbirine bağlı kurşun bölmelere yerleştirilmiş renkli cam parçalarından oluşan, saydam pencere süslemesi veya resim",6,2023-07-22
62,sönmek,hava veya başka bir gaz ile şişirilmiş bir şeyin havası kaçıp şişkinliği inmek,6,2023-07-22
63,meğerki,i̇stek veya emir kipinde olan ve biri diğerini engelleyecek durumda bulunan iki cümleyi birbirine bağlayan bir söz,7,2023-07-22
64,açılmak,"genişlemek, bollaşmak",7,2023-07-22
65,hatiplik,konuşmacılık,8,2023-07-22
66,emdirmek,emmesini sağlamak,8,2023-07-22
67,vakfetmek,mal ve mülkünü satılmamak şartıyla bir hayır kurumuna veya işine bağışlamak,9,2023-07-22
68,kalitesiz,niteliksiz,9,2023-07-22
69,meziyetsiz,"beğenilmeyen, üstün nitelikleri bulunmayan",10,2023-07-22
70,tabiatüstü,doğaüstü,10,2023-07-22
71,için,ant deyimleri yapan bir söz,4,2023-07-23
72,açış,açma işi,4,2023-07-23
73,teori,kuram,5,2023-07-23
74,nüans,i̇nce ayrım,5,2023-07-23
75,tepmek,"değerini anlamamak veya kestirememek, geri çevirmek",6,2023-07-23
76,sümbül,"zambakgillerden, soğanla üretilen, 15-20 santimetre yüksekliğinde, çiçekleri keskin kokulu ve türlü renkli, çok yıllık bir süs bitkisi (hyacinthus orientalis)",6,2023-07-23
77,geçişli,"nesne ile kullanılan (fiil), müteaddi: sevmek (okuma-yı sevmek), görmek (ev-i görmek), kırmak (cam-ı kırmak), dökmek (süt-ü dökmek) gibi",7,2023-07-23
78,küflüce,mantar hastalığı,7,2023-07-23
79,tuzlukçu,konya iline bağlı ilçelerden biri,8,2023-07-23
80,büyüklük,ululuk,8,2023-07-23
81,müphemlik,belirsizlik,9,2023-07-23
82,kudretten,yaradılıştan,9,2023-07-23
83,darbelemek,"vurmak, çarpmak",10,2023-07-23
84,gastronomi,yemeği iyi yeme merakı,10,2023-07-23
85,boks,"belirli kurallara uyularak yapılan yumruk dövüşü, yumruk oyunu",4,2023-07-24
86,kırk,"dört kere on, otuz dokuzdan bir artık",4,2023-07-24
87,devam,"`kesme, sürdür` anlamında kullanılan bir söz",5,2023-07-24
88,kaçış,yarışan bir koşucunun veya bir kümenin diğer yarışçıları hızla geçmesi,5,2023-07-24
89,miskin,"âciz, zavallı",6,2023-07-24
90,mümkün,olabilir,6,2023-07-24
91,nihayet,son,7,2023-07-24
92,medrese,"i̇slam ülkelerinde, genellikle i̇slam dini kurallarına uygun bilimlerin okutulduğu yer",7,2023-07-24
93,başhakem,"yarışmayı veya oyunu yöneten hakemlerin başı, başyargıcı",8,2023-07-24
94,dümenden,"yalancıktan, gösteriş olarak",8,2023-07-24
95,arkadaşça,"i̇çtenlikle, dostça",9,2023-07-24
96,sokturmak,sokma işini yaptırmak,9,2023-07-24
97,arşivcilik,belgelikçilik,10,2023-07-24
98,büküvermek,çabucak bükmek,10,2023-07-24
99,nebi,kendisine kitap indirilmemiş peygamber,4,2023-07-25
100,güve,"kurtçuğu yapağı, yünlü kumaş ve dokuma yiyen pul kanatlılardan bir böcek (tine pellionella)",4,2023-07-25
101,zinde,"dinç, canlı, diri, sağlam",5,2023-07-25
102,çizer,karikatürcü,5,2023-07-25
103,bakara,i̇skambil kâğıdı ile oynanan bir kumar,6,2023-07-25
104,ceylan,"çift parmaklılardan, boynuzlugiller familyasından, çöllerde yaşayan, çok hızlı koşan, gözlerinin güzelliği ile tanınan, ince bacaklı, zarif, memeli hayvan, ahu, gazal (gazella dorcas)",6,2023-07-25
105,işkilli,kuruntucu,7,2023-07-25
106,uyuzluk,parasızlık,7,2023-07-25
107,saadetle,`güle güle` anlamında kullanılan bir esenleme sözü,8,2023-07-25
108,coğrafya,"yeryüzünü fiziksel, ekonomik, beşerî, siyasal yönlerden inceleyen bilim",8,2023-07-25
109,kekelemek,damak sesleriyle başlayan kelimeleri ve heceleri tekrarlayarak ve keserek konuşmak,9,2023-07-25
110,laytmotif,"bir eserde, ana duyguyu, düşünceyi veya kişiliği göstermek için kullanılan motif, ana motif",9,2023-07-25
111,papağanlık,"duyduklarını düşünmeden, anlamını bilmeden tekrarlama durumu",10,2023-07-25
112,indirimsiz,"fiyatında değer düşürümü yapılmamış, tenzilatsız, iskontosuz",10,2023-07-25
113,kere,"kez, yol, defa, sefer",4,2023-07-26
114,zayi,"kaybolma, yitme",4,2023-07-26
115,harem,"saray ve konaklarda kadınlara ayrılan bölüm, selamlık karşıtı",5,2023-07-26
116,tokat,i̇nsana el içi ile vuruş,5,2023-07-26
117,tutmaç,dört köşe kesilmiş küçük hamur parçalarından yapılan yoğurtlu çorba,6,2023-07-26
118,çermik,"kaplıca, ılıca",6,2023-07-26
119,boğazlı,"çok yemek yiyen, yemek isteği çok olan, iştahlı",7,2023-07-26
120,ötleğen,çalı bülbülü,7,2023-07-26
121,gerinmek,kolları açarak gövdeyi gergin bir duruma sokmak,8,2023-07-26
122,güncelik,"günce yazılan defter, muhtıra",8,2023-07-26
123,ortodonti,"diş hekimliğinin, dişleri çenelerin üzerine estetik ve görev bakımlarından düzenli bir biçimde yerleştirmekle uğraşan kolu",9,2023-07-26
124,alavereci,vurguncu,9,2023-07-26
125,koleksiyon,"öğrenme, yarar sağlama veya zevk amacıyla bir araya getirilmiş ve özelliklerine göre sınıflara ayrılmış nesnelerin bütünü, derlem",10,2023-07-26
126,jeosantrik,yermerkezci,10,2023-07-26
127,isal,ulaştırma,4,2023-07-27
128,celi,"açık, aşikâr",4,2023-07-27
129,rasat,gözlem,5,2023-07-27
130,ervah,ruhlar,5,2023-07-27
131,kozmos,evren,6,2023-07-27
132,metruk,kullanılmayan,6,2023-07-27
133,dalgacı,i̇şine gereken önem ve dikkati göstermeyen (kimse),7,2023-07-27
134,lenduha,çok iri ve kaba,7,2023-07-27
135,ebelemek,oyunda ebe yapmak,8,2023-07-27
136,girilmek,girme işi yapılmak,8,2023-07-27
137,yakalayış,yakalama işi,9,2023-07-27
138,devridaim,tam ve sürekli dönüş veya dolaşım,9,2023-07-27
139,istatistik,"i̇lkelerini olasılık kuramlarından alarak eldeki verileri grafik ve sayı biçiminde değerlendirmeye dayandıran matematiğin uygulamalı dalı, sayım bilimi",10,2023-07-27
140,gelebilmek,gelmeye gücü yetmek,10,2023-07-27
141,şive,söyleyiş özelliği,4,2023-07-28
142,çark,bir eksenin döndürdüğü tekerlek biçimindeki makine parçası,4,2023-07-28
143,helke,"bakırdan yapılan bakraç, kova",5,2023-07-28
144,garoz,palamut ve toriğin iç organları,5,2023-07-28
145,sekter,"başkalarının siyasi, dinî vb. düşüncelerine, inançlarına karşı çıkan, katı ve hoşgörüsüz davranan (kimse)",6,2023-07-28
146,terane,"ezgi, makam, nağme",6,2023-07-28
147,kınacık,"buğday pası mantarının, tahıl bitkilerinin sap ve yapraklarında oluşturduğu pas rengindeki hastalık",7,2023-07-28
148,dekoder,çözücü,7,2023-07-28
149,harcırah,yolluk,8,2023-07-28
150,müsadere,zor alım,8,2023-07-28
151,altmışlık,altmış yaşında olan veya görünen,9,2023-07-28
152,alımcılık,tahsildarlık,9,2023-07-28
153,maddiyatçı,"paraya, mala çok önem veren kimse",10,2023-07-28
154,öpüştürmek,öpüşme işini yaptırmak,10,2023-07-28
155,çalı,"böğürtlen, ahududu gibi küçük, dalları dibinden çatallanan ve sapları odunsu bitki",4,2023-07-29
156,açar,ön içki,4,2023-07-29
157,ekose,çeşitli renk ve büyüklükteki karelerden oluşan (desen veya kumaş),5,2023-07-29
158,akmak,sıvı maddeler aşağıya yönelmek,5,2023-07-29
159,çapçak,ağzı açık fıçı,6,2023-07-29
160,domino,üzerleri noktalarla işaretli dikdörtgen biçiminde yirmi sekiz taşla masa üzerinde oynanan bir oyun,6,2023-07-29
161,akarlar,"gövdeleri halkasız, başları göğüsle birleşik, ağız yapıları ısırıcı, sokucu veya emici örümceğimsiler takımı",7,2023-07-29
162,tepkime,"birbirini etkileyen maddeler arasında ortaya çıkan durum, reaksiyon, teamül",7,2023-07-29
163,tatarcık,"sıcak ülkelerde, özellikle akdeniz çevresinde yaşayan, türlü hastalıklara yol açan küçük bir sinek, yakarca (phlebotomus)",8,2023-07-29
164,tertipçi,bir amaca ulaşmak için kötü bir hareket veya durum düzenleyen kimse,8,2023-07-29
165,inebilmek,i̇nme ihtimali veya imkânı bulunmak,9,2023-07-29
166,kaytarmak,"geri çevirmek, iade etmek",9,2023-07-29
167,simgecilik,"olayları yorumlamaya veya inançları anlatmaya yarayan simgeler sistemi, sembolizm",10,2023-07-29
168,yargılamak,"herhangi bir kimse, şey, konu vb.yle ilgili olumlu veya olumsuz görüş belirtmek",10,2023-07-29
169,kant,şeker ve limonla içilen sıcak su,4,2023-07-30
170,ufak,kısa bir süre,4,2023-07-30
171,gaile,"sıkıntı, dert, keder, üzüntü",5,2023-07-30
172,ölçüt,"bir yargıya varmak veya değer vermek için başvurulan ilke, kıstas, mısdak, kriter",5,2023-07-30
173,asuman,gök,6,2023-07-30
174,çekmek,"örtmek, giymek",6,2023-07-30
175,yumuşak,"kolaylıkla bükülen, buruşmayan, sert karşıtı",7,2023-07-30
176,gövdeli,i̇ri yapılı,7,2023-07-30
177,revolver,altıpatlar,8,2023-07-30
178,alelusul,"yol yordam gereğince, kurala uygun bir biçimde",8,2023-07-30
179,muhayyile,hayal gücü,9,2023-07-30
180,doğranmak,"kesilmek, parça parça edilmek",9,2023-07-30
181,korelasyon,bağıntı,10,2023-07-30
182,beraberlik,birliktelik,10,2023-07-30
183,deva,"i̇laç, çare",4,2023-07-31
184,çıma,halat ucu,4,2023-07-31
185,muşta,"kunduracıların, derileri vurarak inceltmek için kullandıkları metalden tokmak",5,2023-07-31
186,soyka,ölünün üzerinden çıkan giysi,5,2023-07-31
187,olivin,"sarımsı yeşil renkli, cam parıltılı, magnezyum ve demirli silikat, peridot",6,2023-07-31
188,devlet,talih,6,2023-07-31
189,huşunet,"sertlik, kabalık, kırıcılık",7,2023-07-31
190,tebarüz,"belirme, görünme",7,2023-07-31
191,sığınmak,"korunmak amacıyla bir yere veya birine başvurmak, başkalarının yardım ve korunmasına ihtiyaç duymak",8,2023-07-31
192,çekinmek,bir şey sürünmek,8,2023-07-31
193,gömleksiz,gömleği olmayan,9,2023-07-31
194,kontrfile,"kesim hayvanlarında, bel kemiğindeki dikensi çıkıntının iki yanında bulunan et dilimi",9,2023-07-31
195,mütedeyyin,dindar,10,2023-07-31
196,uzmanlaşma,uzman durumuna gelme,10,2023-07-31
197,futa,"dar, uzun ve hafif bir yarış kayığı, kik",4,2023-08-01
198,kefe,terazi gözlerinden her biri,4,2023-08-01
199,muare,"dalgalı parıltılar verilmiş olan bir kumaş türü, kareli kumaş",5,2023-08-01
200,sövüş,sövme işi,5,2023-08-01
201,okuntu,küçük armağanlarla yapılan düğün çağrısı,6,2023-08-01
202,virman,para aktarımı,6,2023-08-01
203,faydacı,yararcı,7,2023-08-01
204,anomali,sapaklık,7,2023-08-01
205,röportaj,"konusu bir soruşturma, araştırma olan gazete veya dergi yazısı",8,2023-08-01
206,afetzede,"afete uğramış, afet görmüş kimse",8,2023-08-01
207,antisepsi,"el, yüz veya vücuttaki hastalık yapan mikroorganizmaları kimyasal maddelerle etkisiz hâle getirme veya yok etme işlemi",9,2023-08-01
208,öksürüklü,hastalıklı,9,2023-08-01
209,kusabilmek,kusma becerisi bulunmak,10,2023-08-01
210,hırpalamak,örselemek,10,2023-08-01
211,kıta,dörtlük,4,2023-08-02
212,çenk,"arpı andıran, telli bir çalgı",4,2023-08-02
213,mazak,"kırlangıç balığıgillerden, atlantik okyanusu, akdeniz ve marmara denizinde yaşayan, kırmızı renkli, lezzetli bir balık (trigla lineata)",5,2023-08-02
214,lehim,bu alaşımla yapılan işlem,5,2023-08-02
215,müşkül,"engel, güçlük, zorluk",6,2023-08-02
216,kadife,"bu kumaştan yapılmış, bu kumaşla kaplanmış",6,2023-08-02
217,beyzade,soylu kimse,7,2023-08-02
218,beşaret,muştu,7,2023-08-02
219,mukavves,"kavisli, eğri, eğmeçli",8,2023-08-02
220,tiplemek,"belirli bir tipin bütün çapraşık özelliklerini, bunu en iyi, en rahat, en inandırıcı biçimde temsil edebilecek kişiyle canlandırmak",8,2023-08-02
221,tırmanıcı,tırmanma özelliği olan,9,2023-08-02
222,karşıtlık,"i̇ki organ, iki sistem arasındaki görevlerin zıt olması durumu, karşı gelim",9,2023-08-02
223,meteorolog,hava tahmincisi,10,2023-08-02
224,gardıropçu,giydirici,10,2023-08-02
225,zina,aralarında evlilik bağı olmayan kişiler arasındaki cinsel ilişki,4,2023-08-03
226,cefa,zulüm,4,2023-08-03
227,zeval,öğle,5,2023-08-03
228,tanım,"bir kavramın niteliklerini eksiksiz olarak belirtme veya açıklama, tarif",5,2023-08-03
229,yatkın,"çok durmaktan sağlamlığını yitirmiş, çürük",6,2023-08-03
230,altlık,arabaya koşulan atların yolları kirletmemesi için kuyruğunun altına yerleştirilen torba,6,2023-08-03
