id,word,definition,ratio,partial_ratio,token_sort_ratio,token_set_ratio,WRatio
7665,cerh,yaralama,17,25,17,17,22
18700,ilikçi,i̇lik açan kimse,55,67,40,40,72
15374,guano,"özellikle deniz kuşlarının pisliklerinin bir yerde uzun süreden beri birikip yığılmasıyla oluşan, azot ve fosfat bakımından zengin, gübre olarak kullanılan madde",5,40,6,6,24
30349,mütemadi,"sürekli, aralıksız",23,38,17,17,27
5253,benek,"güneş lekeleri yöresinde görülen, parlak taneciklerden ve parlak damarlardan oluşmuş bölüm, fakül",8,40,11,12,34
12524,estetik,"güzelliği ve güzelliğin insan belleğindeki ve duygularındaki etkilerini konu olarak ele alan felsefe kolu, güzel duyu, bedii",9,43,8,8,32
37238,somun,yuvarlak ve şişkin ekmek,14,20,21,21,18
5196,belirti,"bir olayın veya durumun anlaşılmasına yardım eden şey, alamet, nişan, nişane",14,43,12,12,26
48013,çirkef,i̇ğrenç ve bulaşkan (kimse veya şey),19,33,16,16,54
38534,sıracı,esas çalgı takımı gelmediğinde onların yerine saz çalan ve türkü okuyan kimse,10,33,10,10,20
1376,ambalaj,"eşyayı sarmaya yarayan mukavva, kâğıt, tahta, plastik vb. malzeme",14,43,15,15,26
2996,aylı,gebe,0,0,0,0,0
32042,otomatizm,öz devinim,21,22,22,22,22
47694,çelmek,örtü vb.ni örtünüp iki ucunu bağlamak,14,50,16,16,54
12855,ezici,"üstün gelen, yok eden, ağır basan",5,20,6,6,18
8459,dayaklık,dayağı hak eden (kimse),39,62,41,41,56
48734,çırpış,çırpma işi,62,67,43,43,57
23712,kokain,koka yapraklarından çıkarılan ve bağımlılık yapan uyuşturucu bir alkaloit,13,67,13,13,40
35017,salatasız,salata bulunmayan,46,67,46,46,60
19444,ispat,"tanıt ve kanıt göstererek bir şeyin gerçek yönünü ortaya çıkarma, kanıtlama, tanıtlama, tanıt",6,40,9,10,24
20841,kalleş,birine gizlice kötülük eden,18,33,13,13,45
29638,mukteza,bir iş yapılırken gerekli işlemlerin bütünü,8,29,13,13,26
24304,koroner,kalbi taç şeklinde kuşatıp besleyen (damarlar),15,43,12,12,39
29274,monitör,göstergeç,25,29,31,31,31
30254,müstahdem,odacı,14,20,15,15,18
29859,möbleli,mobilyalı,50,43,53,53,53
40951,tezlik,tez olma durumu,38,67,29,29,60
50514,şelf,"karaları çevreleyen ve karalardan sayılan, 200 metre derinliğe kadar olan sığ deniz dipleri",4,50,4,4,30
25816,küpsüz,küpü olmayan,44,67,29,29,45
8364,daraltıcı,boruların çaplarını daraltmakta kullanılan bağlantı parçası,24,67,24,24,60
1643,anket,sormaca,17,20,17,17,17
7762,cidden,gerçekten,27,33,29,29,29
4866,başağaç,boyuna dikey yönden kesilmiş olan ve yıl halkaları çember biçiminde görüntü veren ağaç,15,57,9,9,30
21204,kanırtmak,büküp zorlayarak yerinden oynatmak,33,56,29,29,50
29479,muhafaza,"koruma, saklama, korunum",25,38,33,33,34
39816,taze,"yeni, zamanı geçmemiş",16,25,9,9,22
16790,harcayış,harcama işi,63,62,63,63,63
40007,tecil,erteleme,46,60,46,46,54
1491,anaca,ana olarak,53,60,53,53,54
34979,sakınım,"herhangi bir tehlikeye karşı alınan önlem, ihtiyat, tedbir",15,43,16,16,26
3312,açabilmek,açma ihtimali veya imkânı bulunmak,33,44,35,35,45
18549,ikramiye,bir yerde çalışan kimselere genellikle kazançtan dağıtılan veya iyi çalıştıkları için verilen aylık dışı para,12,50,12,12,30
40889,teverrüm,verem olma,44,50,47,47,47
21733,karma,"ayrı türden olan ögelerin karıştırılmasıyla oluşmuş, muhtelit",15,60,16,16,36
33956,pırasa,"zambakgillerden, sapından ve yapraklarından yararlanılan, çok yıllık bir kış sebzesi (allium porrum)",11,50,10,10,30
34613,rölans,"konken, poker vb. oyunlarda ortaya sürülmüş olan parayı artırmak için söylenen söz",11,50,13,13,36
46865,çakabilmek,çakma becerisi bulunmak,55,60,52,52,52
9549,dikmek,"top, taş vb.ni dikine havaya atmak",25,67,21,21,60
2325,arşın,yaklaşık 68 santimetreye eşit olan uzunluk ölçüsü,15,60,16,16,36
21100,kancacı,metal zincir imalatında palet zincirlerinin ucundaki baklalarına özel kanca takan kimse,13,57,13,13,40
37693,sungur,"doğana benzeyen, yırtıcı, avcı kuş",10,17,16,16,28
46069,yıkabilmek,yıkma ihtimali veya imkânı bulunmak,36,50,27,27,45
34153,raptetmek,"bir şeyi bir yere iliştirmek, tutturmak",25,44,26,28,40
13847,formalite,yerine getirilmesi kanunca zorunlu kılınan işlem,21,33,21,21,30
6829,burcu,"güzel koku, ıtır",19,20,21,21,20
2361,asbest,"tremolitin bozulmasından oluşan, lifli, kırılmadan bükülebilen ve ateşte niteliği değişmeyen bir mineral, taş pamuğu, kaya lifi",8,33,8,8,28
23028,kerhen,"tiksinerek, iğrenerek",37,50,31,31,45
24736,kudurmak,"çok kızmak, öfkelenmek",27,50,30,30,45
28817,mezat,açık artırma ile satış yapılan yer,21,60,21,21,54
18424,ihtisas,duygu,0,0,0,0,0
36835,simetri,bakışım,14,14,14,14,14
42340,ulumak,i̇nsan iniltili ses çıkararak boğuk boğuk ağlamak,18,67,15,17,60
43406,veçhe,yön,0,0,0,0,0
23218,kesmece,"kesilip müşteriye gösterilerek satılan (kavun, karpuz)",20,43,21,21,39
18097,hırt,"sersem, budala, ahmak",8,25,17,17,22
23699,kodlama,harfleme,27,29,27,27,27
22344,kaynak,"gelir, kazanç, sağlık vb.ni sağlayıcı öge",21,50,23,23,45
30038,mükemmelen,"eksiksiz, kusursuz olarak",11,10,12,12,12
19854,izolasyon,yalıtım,12,14,12,12,12
37978,sübye,"badem içi, ezilmiş sarımsak, kavun çekirdeği vb.nden yapılan boza koyuluğunda sıvı",7,20,7,7,28
46380,zarif,"beğenilir ve nükteli (dil, konuşma vb.)",9,20,10,10,34
14140,fıçılama,"fıçıya koyma, fıçıya doldurma",38,62,36,44,51
32314,padişah,"osmanlı devleti'nde devlet başkanına verilen unvan, hükümdar, sultan",16,43,11,11,26
34115,ramp,"bir tiyatro sahnesinin önünde, ışık ve ışıldakların yerleştirildiği, izleyiciye en yakın yer",4,25,4,4,15
37260,sondajcı,sondalamacı,74,62,74,74,74
17168,haykırmak,"çağırmak, seslenmek",43,67,46,46,60
47814,çevgen,değnek,33,33,36,36,36
37732,suret,"i̇slam felsefesinde, varlığın görünen yanı, beş duyu ile algılanan yönü",8,40,9,9,24
16509,halhal,kadınların ayak bileklerine taktıkları bilezik,15,33,15,15,30
